1988-07-05,10.800,0.100
1988-07-06,7.200,0.200
1988-07-07,8.400,0.200
1988-07-08,8.400,0.300
1988-07-09,8.600,0.300
1988-07-10,9.900,0.400
1988-07-11,13.600,0.200
1988-07-12,20.500,0.400
1988-07-13,9.600,0.300
1988-07-14,21.000,0.500
1988-07-15,10.500,0.200
1988-07-16,12.500,0.500
1988-07-17,16.000,0.900
1988-07-18,16.300,0.700
1988-07-19,16.400,0.300
1988-07-20,20.500,1.000
1988-07-21,19.000,1.300
1988-07-22,13.100,0.800
1988-07-23,11.200,0.200
1988-07-24,10.100,0.600
1988-07-25,9.000,0.300
1988-07-26,16.500,4.000
1988-07-27,22.600,1.600
1988-07-28,20.000,0.700
1988-07-29,11.200,0.300
1988-07-30,11.800,0.300
1988-07-31,9.500,0.200
1988-08-01,18.100,0.600
1988-08-02,14.400,0.800
1988-08-03,14.100,0.600
1988-08-04,14.000,0.200
1988-08-05,19.100,1.900
1988-08-06,13.600,0.600
1988-08-07,10.100,0.200
1988-08-08,8.700,1.000
1988-08-09,10.800,0.900
1988-08-10,14.700,0.900
1988-08-11,14.900,0.300
1988-08-12,13.900,0.400
1988-08-13,12.800,0.100
1988-08-14,11.500,0.100
1988-08-15,14.200,0.300
1988-08-16,9.100,0.200
1988-08-17,12.700,0.500
1988-08-18,14.200,1.900
1988-08-19,14.900,0.700
1988-08-20,15.500,0.600
1988-08-21,8.100,0.100
1988-08-22,8.200,0.100
1988-08-23,10.100,0.300
1988-08-24,10.700,0.200
1988-08-25,8.300,0.300
1988-08-26,7.700,0.200
1988-08-27,8.000,0.200
1988-08-28,6.500,0.200
1988-08-29,13.300,0.600
1988-08-30,5.600,0.400
1988-08-31,6.600,0.200
1988-09-01,7.400,0.200
1988-09-02,9.200,0.300
1988-09-03,7.100,0.100
1988-09-04,6.800,0.400
1988-09-05,5.600,0.100
1988-09-06,6.100,0.100
1988-09-07,4.100,0.100
1988-09-08,4.300,0.100
1988-09-09,7.500,0.400
1988-09-10,4.600,0.500
1988-09-11,5.300,0.100
1988-09-12,13.900,0.700
1988-09-13,8.400,0.200
1988-09-14,7.100,0.100
1988-09-15,7.600,0.500
1988-09-16,8.800,1.500
1988-09-17,6.300,1.300
1988-09-18,12.800,0.300
1988-09-19,18.100,1.300
1988-09-20,7.500,0.300
1988-09-21,4.400,0.100
1988-09-22,11.800,0.400
1988-09-23,9.700,0.200
1988-09-24,4.700,0.200
1988-09-25,6.700,0.200
1988-09-26,5.800,0.500
1988-09-27,7.200,0.400
1988-09-28,7.500,0.200
1988-09-29,14.100,1.100
1988-09-30,15.500,0.900
1988-10-01,11.900,0.500
1988-10-02,10.800,0.100
1988-10-03,7.500,0.200
1988-10-04,9.500,0.300
1988-10-05,8.300,0.200
1988-10-06,9.600,0.100
1988-10-07,12.500,0.100
1988-10-08,7.200,0.700
1988-10-09,6.500,0.200
1988-10-10,8.100,0.800
1988-10-11,12.100,0.700
1988-10-12,8.600,0.200
1988-10-13,10.900,0.100
1988-10-14,13.600,0.300
1988-10-15,5.700,0.000
1988-10-16,9.700,0.100
1988-10-17,12.100,3.400
1988-10-18,10.300,0.900
1988-10-19,9.100,0.100
1988-10-20,16.400,1.100
1988-10-21,22.500,0.400
1988-10-22,7.500,0.800
1988-10-23,12.600,0.300
1988-10-24,8.700,0.400
1988-10-25,8.000,0.400
1988-10-26,10.900,0.600
1988-10-27,14.900,0.500
1988-10-28,19.800,0.600
1988-10-29,5.900,0.200
1988-10-30,6.900,0.100
1988-10-31,7.200,0.200
1988-11-01,14.000,0.600
1988-11-02,10.600,0.400
1988-11-03,9.800,0.300
1988-11-04,27.300,3.400
1988-11-05,19.800,2.500
1988-11-06,13.500,0.500
1988-11-07,4.500,0.200
1988-11-08,7.200,0.200
1988-11-09,14.000,0.800
1988-11-10,19.000,0.400
1988-11-11,6.700,0.200
1988-11-12,9.000,0.900
1988-11-13,17.000,0.400
1988-11-14,7.500,0.300
1988-11-15,22.300,2.800
1988-11-16,22.000,1.900
1988-11-17,15.400,0.500
1988-11-18,16.400,0.200
1988-11-19,18.100,1.000
1988-11-20,25.300,1.800
1988-11-21,12.500,0.900
1988-11-22,17.600,0.200
1988-11-23,13.600,0.200
1988-11-24,5.600,0.300
1988-11-25,5.900,0.600
1988-11-26,7.900,0.700
1988-11-27,22.900,0.100
1988-11-28,24.900,0.200
1988-11-29,10.300,0.200
1988-11-30,10.600,1.000
1988-12-01,8.000,0.800
1988-12-02,5.500,0.500
