ATL,8,3,2208.31
ATL,8,4,2175.15
ATL,8,5,2202.08
ATL,8,6,2189.15
ATL,8,7,2192.23
ATL,8,8,2199.85
ATL,8,9,2189.62
ATL,8,10,2202.46
ATL,8,11,2171.92
ATL,8,12,2196.54
ATL,8,13,2180.92
ATL,8,14,2177.08
ATL,8,15,2183.62
ATL,8,16,2166.23
ATL,8,17,2180.54
ATL,8,18,2134.08
ATL,8,19,2164.85
ATL,8,20,2139.31
ATL,8,21,2122.77
ATL,8,22,2136.77
ATL,8,23,2142.15
ATL,8,24,2155.46
ATL,8,25,2109.46
ATL,8,26,2155.00
ATL,8,27,2133.85
ATL,8,28,2119.85
ATL,8,29,2129.00
ATL,8,30,2117.54
ATL,8,31,2050.54
ATL,9,1,1965.15
ATL,9,2,2007.92
ATL,9,3,2044.62
ATL,9,4,2026.00
ATL,9,5,2032.62
ATL,9,6,2040.54
ATL,9,7,2084.54
ATL,9,8,2060.15
ATL,9,9,2098.00
ATL,9,10,2061.85
ATL,9,11,2047.54
ATL,9,12,2078.77
ATL,9,13,2075.38
ATL,9,14,2086.46
ATL,9,15,2056.54
ATL,9,16,2098.54
ATL,9,17,2078.46
ATL,9,18,2076.31
ATL,9,19,2082.85
ATL,9,20,2070.62
ATL,9,21,2078.92
ATL,9,22,2046.69
ATL,9,23,2088.92
ATL,9,24,2069.77
ATL,9,25,2062.92
ATL,9,26,2072.23
ATL,9,27,2054.92
ATL,9,28,2066.08
ATL,9,29,2037.69
ATL,9,30,2079.38
ATL,10,1,2075.54
ATL,10,2,2075.85
ATL,10,3,2082.69
ATL,10,4,2068.31
ATL,10,5,2083.77
ATL,10,6,2060.69
ATL,10,7,2101.69
ATL,10,8,2087.54
ATL,10,9,2077.85
ATL,10,10,2090.77
ATL,10,11,2076.38
ATL,10,12,2083.31
ATL,10,13,2057.62
ATL,10,14,2100.62
ATL,10,15,2086.77
ATL,10,16,2080.00
ATL,10,17,2089.46
ATL,10,18,2075.62
ATL,10,19,2082.92
ATL,10,20,2059.69
ATL,10,21,2099.31
ATL,10,22,2086.08
ATL,10,23,2078.62
ATL,10,24,2090.00
ATL,10,25,2077.46
ATL,10,26,2085.23
ATL,10,27,2056.38
ATL,10,28,2098.69
ATL,10,29,2083.62
ATL,10,30,2076.08
ATL,10,31,2020.31
ATL,11,1,2073.85
ATL,11,2,2079.46
ATL,11,3,2054.92
ATL,11,4,2097.08
ATL,11,5,2084.23
ATL,11,6,2072.38
ATL,11,7,2089.15
ATL,11,8,2068.69
ATL,11,9,2073.31
ATL,11,10,2055.31
ATL,11,11,2094.15
ATL,11,12,2077.92
ATL,11,13,2075.69
ATL,11,14,2082.46
