ABE,13776,13401
ABQ,10290,10346
ALB,24376,24387
ALO,1185,1185
ANC,7728,7728
ART,1333,1334
ASE,2734,2733
ATL,103180,101691
ATW,16881,16844
AUS,32361,33263
AVL,2996,2997
AVP,8514,8620
AZO,21850,21827
BDL,44899,46156
BGM,1,2
BHM,12048,12065
BIL,722,725
BIS,1060,1060
BMI,15208,15195
BNA,46801,47605
BOI,6543,6576
BOS,95715,94368
BTR,2105,2101
BTV,11357,11288
BUF,43983,44289
BWI,47450,47423
BZN,2033,2023
CAE,12603,11536
CAK,10469,10455
CHA,9486,9488
CHO,1865,1866
CHS,12274,12376
CID,39439,40090
CLE,79218,78693
CLT,73411,75959
CMH,64238,64490
CMI,27008,26957
CMX,2873,2874
COS,16526,16430
COU,321,321
CPR,134,135
CRW,8119,8118
CVG,69546,69732
CWA,12976,12975
DAB,26,26
DAL,2836,2838
DAY,32294,32127
DBQ,12940,12906
DCA,100031,100025
DEN,82615,80159
DFW,109747,109570
DLH,6047,6050
DSM,52948,56111
DTW,92737,92814
EAU,2794,2797
EGE,2005,2004
ELP,12000,12001
EUG,,1
EVV,22346,22342
EWR,106607,103896
FAI,82,82
FAR,16834,16789
FCA,594,592
FLL,23436,23440
FNT,4903,4905
FSD,20453,20686
FWA,30353,30330
GEG,3137,3132
GJT,8,23
GPT,234,233
GRB,34735,34701
GRR,43697,43026
GSO,13007,13144
GSP,16177,16377
GTF,23,24
GUC,18,18
HDN,1545,1540
HNL,7538,7545
HPN,35124,34619
HSV,11242,11260
IAD,51909,50277
IAH,75353,75274
ICT,32415,32363
ILM,546,546
IND,50397,50090
JAC,3089,3684
JAN,1070,1071
JAX,14790,15459
JFK,20942,21059
KOA,1450,
LAN,13149,13158
LAR,,1
LAS,63237,62979
LAX,109520,107212
LBB,1,
LEX,19105,19109
LGA,138800,137406
LGB,3099,3099
LIT,23294,23289
LNK,14353,14088
LSE,13173,13167
MBS,14042,13980
MCI,54916,55127
MCN,,1
MCO,47763,47753
MDT,27450,27619
MDW,,2
MEM,43329,43695
MHK,1864,1865
MHT,14147,14060
MIA,49207,49208
MKE,39338,39173
MKG,2902,2902
MLI,22945,21846
MOB,742,743
MQT,3728,3763
MSN,43717,43316
MSO,720,720
MSP,121741,123218
MSY,20400,21451
MTJ,831,831
MYR,323,326
OAK,7868,7720
OGG,1389,2838
OKC,29367,29348
OMA,46119,47068
ONT,573,577
ORF,18878,19741
ORH,646,648
PAH,2838,2839
PBI,9269,9272
PDX,32443,33039
PHL,102882,100535
PHX,68633,69200
PIA,30271,30255
PIH,,1
PIT,59373,59436
PNS,2353,2346
PSP,6060,6054
PUB,,1
PVD,25844,25817
PWM,9532,9672
RAP,3822,3834
RDU,35604,36456
RFD,,2
RIC,29882,30084
RNO,7374,7374
ROA,7942,7492
ROC,40283,39710
ROW,,1
RST,19584,19568
RSW,11527,11528
SAN,44111,47023
SAT,24641,26634
SAV,10757,10817
SBN,16140,16138
SDF,24093,24240
SEA,61972,62965
SFO,86123,84103
SGF,23762,23194
SHV,458,455
SJC,26988,26217
SJU,16180,15445
SLC,40466,40249
SMF,15526,15790
SNA,35006,36550
SPI,11911,11903
SRQ,455,455
STL,58970,58074
STT,123,852
SUX,1186,1187
SWF,8334,8326
SYR,33229,33227
TOL,14533,14532
TPA,31475,31944
TRI,1076,1076
TUL,30448,30126
TUS,13584,13465
TVC,24745,24709
TYS,29104,29018
VPS,354,354
XNA,33729,33769
