ATL,1,1,1293.50
ATL,1,2,1350.00
ATL,1,3,1386.50
ATL,1,4,1426.50
ATL,1,5,1438.00
ATL,1,6,1414.00
ATL,1,7,1410.50
ATL,1,8,1351.00
ATL,1,9,1335.50
ATL,1,10,1329.50
ATL,1,11,1447.00
ATL,1,12,1430.50
ATL,1,13,1457.00
ATL,1,14,1405.50
ATL,1,15,1423.00
ATL,1,16,1415.00
ATL,1,17,1400.00
ATL,1,18,1379.00
ATL,1,19,1403.00
ATL,1,20,1400.50
ATL,1,21,1415.50
ATL,1,22,1452.00
ATL,1,23,1432.00
ATL,1,24,1443.00
ATL,1,25,1462.50
ATL,1,26,1456.50
ATL,1,27,1455.00
ATL,1,28,1414.00
ATL,1,29,1429.50
ATL,1,30,1428.00
ATL,1,31,1450.50
ATL,2,1,1448.00
ATL,2,2,1437.50
ATL,2,3,1419.50
ATL,2,4,1403.50
ATL,2,5,1398.50
ATL,2,6,1386.50
ATL,2,7,1423.50
ATL,2,8,1434.00
ATL,2,9,1446.00
ATL,2,10,1459.50
ATL,2,11,1416.00
ATL,2,12,1418.50
ATL,2,13,1409.50
ATL,2,14,1437.50
ATL,2,15,1433.00
ATL,2,16,1444.50
ATL,2,17,1435.00
ATL,2,18,1403.50
ATL,2,19,1388.50
ATL,2,20,1330.50
ATL,2,21,1405.50
ATL,2,22,1426.00
ATL,2,23,1424.00
ATL,2,24,1443.50
ATL,2,25,1411.50
ATL,2,26,1423.50
ATL,2,27,1392.00
ATL,2,28,1423.00
ATL,2,29,1514.00
ATL,3,1,1412.00
ATL,3,2,1426.50
ATL,3,3,1433.00
ATL,3,4,1438.00
ATL,3,5,1386.00
ATL,3,6,1434.00
ATL,3,7,1466.00
ATL,3,8,1464.50
ATL,3,9,1470.50
ATL,3,10,1461.50
ATL,3,11,1449.00
ATL,3,12,1403.00
ATL,3,13,1448.50
ATL,3,14,1479.50
ATL,3,15,1473.50
ATL,3,16,1491.50
ATL,3,17,1471.00
ATL,3,18,1440.50
ATL,3,19,1427.50
ATL,3,20,1453.50
ATL,3,21,1202.50
ATL,3,22,1200.50
ATL,3,23,1200.00
ATL,3,24,1190.00
ATL,3,25,1161.00
ATL,3,26,1146.50
ATL,3,27,1182.50
ATL,3,28,1197.50
ATL,3,29,1197.50
ATL,3,30,1207.50
ATL,3,31,1199.50
ATL,4,1,1176.00
ATL,4,2,1155.00
ATL,4,3,1184.00
ATL,4,4,1203.50
ATL,4,5,1198.50
ATL,4,6,1196.00
ATL,4,7,1196.50
ATL,4,8,1172.00
ATL,4,9,1144.50
ATL,4,10,1185.00
ATL,4,11,1183.50
