config,seqno,query,duration
"trenzvmbig_1mo_1x",1,"q05",24.263000
"trenzvmbig_1mo_1x",2,"q01",98.043000
"trenzvmbig_1mo_1x",3,"q02",195.032000
"trenzvmbig_1mo_1x",4,"q12",73.869000
"trenzvmbig_1mo_1x",5,"q16",69.716000
"trenzvmbig_1mo_1x",6,"q11",713.134000
"trenzvmbig_1mo_1x",7,"q14",58.553000
"trenzvmbig_1mo_1x",8,"q08",254.451000
"trenzvmbig_1mo_1x",9,"q04",10.732000
"trenzvmbig_1mo_1x",10,"q18",33.951000
"trenzvmbig_1mo_1x",11,"q03",13.178000
"trenzvmbig_1mo_1x",12,"q06",56.022000
"trenzvmbig_1mo_1x",13,"q13",5.572000
"trenzvmbig_1mo_1x",14,"q15",10.174000
"trenzvmbig_1mo_1x",15,"q06",56.729000
"trenzvmbig_1mo_1x",16,"q05",29.689000
"trenzvmbig_1mo_1x",17,"q01",96.786000
"trenzvmbig_1mo_1x",18,"q14",54.673000
"trenzvmbig_1mo_1x",19,"q11",19.396000
"trenzvmbig_1mo_1x",20,"q16",65.701000
"trenzvmbig_1mo_1x",21,"q02",195.571000
"trenzvmbig_1mo_1x",22,"q13",5.552000
"trenzvmbig_1mo_1x",23,"q08",251.372000
"trenzvmbig_1mo_1x",24,"q18",33.657000
"trenzvmbig_1mo_1x",25,"q15",10.005000
"trenzvmbig_1mo_1x",26,"q12",76.796000
"trenzvmbig_1mo_1x",27,"q04",11.154000
"trenzvmbig_1mo_1x",28,"q03",13.280000
"trenzvmbig_1mo_1x",29,"q18",33.707000
"trenzvmbig_1mo_1x",30,"q03",13.189000
"trenzvmbig_1mo_1x",31,"q05",19.922000
"trenzvmbig_1mo_1x",32,"q08",250.098000
"trenzvmbig_1mo_1x",33,"q06",54.873000
"trenzvmbig_1mo_1x",34,"q14",58.777000
"trenzvmbig_1mo_1x",35,"q16",64.480000
"trenzvmbig_1mo_1x",36,"q01",101.427000
"trenzvmbig_1mo_1x",37,"q04",10.841000
"trenzvmbig_1mo_1x",38,"q11",17.204000
"trenzvmbig_1mo_1x",39,"q12",76.149000
"trenzvmbig_1mo_1x",40,"q15",10.392000
"trenzvmbig_1mo_1x",41,"q13",5.555000
"trenzvmbig_1mo_1x",42,"q02",193.505000
"trenzvmbig_1mo_1x",43,"q06",54.940000
"trenzvmbig_1mo_1x",44,"q13",5.618000
"trenzvmbig_1mo_1x",45,"q04",10.291000
"trenzvmbig_1mo_1x",46,"q15",10.098000
"trenzvmbig_1mo_1x",47,"q01",96.738000
"trenzvmbig_1mo_1x",48,"q08",248.563000
"trenzvmbig_1mo_1x",49,"q03",15.039000
"trenzvmbig_1mo_1x",50,"q16",65.256000
"trenzvmbig_1mo_1x",51,"q12",73.125000
"trenzvmbig_1mo_1x",52,"q05",20.599000
"trenzvmbig_1mo_1x",53,"q02",193.599000
"trenzvmbig_1mo_1x",54,"q14",53.548000
"trenzvmbig_1mo_1x",55,"q18",33.714000
"trenzvmbig_1mo_1x",56,"q11",17.133000
"trenzvmbig_1mo_1x",57,"q06",55.069000
"trenzvmbig_1mo_1x",58,"q16",62.952000
"trenzvmbig_1mo_1x",59,"q05",20.639000
"trenzvmbig_1mo_1x",60,"q14",55.892000
"trenzvmbig_1mo_1x",61,"q04",9.386000
"trenzvmbig_1mo_1x",62,"q12",74.556000
"trenzvmbig_1mo_1x",63,"q15",10.079000
"trenzvmbig_1mo_1x",64,"q08",248.178000
"trenzvmbig_1mo_1x",65,"q18",33.719000
"trenzvmbig_1mo_1x",66,"q11",15.829000
"trenzvmbig_1mo_1x",67,"q02",193.465000
"trenzvmbig_1mo_1x",68,"q03",13.113000
"trenzvmbig_1mo_1x",69,"q01",99.572000
"trenzvmbig_1mo_1x",70,"q13",5.576000
"trenzvmbig_1mo_1x",71,"q12",74.752000
"trenzvmbig_1mo_1x",72,"q01",95.342000
"trenzvmbig_1mo_1x",73,"q02",195.900000
"trenzvmbig_1mo_1x",74,"q06",54.750000
"trenzvmbig_1mo_1x",75,"q11",19.421000
"trenzvmbig_1mo_1x",76,"q14",55.623000
"trenzvmbig_1mo_1x",77,"q03",14.770000
"trenzvmbig_1mo_1x",78,"q18",33.565000
"trenzvmbig_1mo_1x",79,"q16",65.484000
"trenzvmbig_1mo_1x",80,"q05",20.522000
"trenzvmbig_1mo_1x",81,"q13",5.595000
"trenzvmbig_1mo_1x",82,"q04",13.948000
"trenzvmbig_1mo_1x",83,"q08",251.032000
"trenzvmbig_1mo_1x",84,"q15",9.977000
"trenzvmbig_1mo_1x",85,"q12",73.007000
"trenzvmbig_1mo_1x",86,"q02",193.703000
"trenzvmbig_1mo_1x",87,"q03",13.237000
"trenzvmbig_1mo_1x",88,"q16",65.881000
"trenzvmbig_1mo_1x",89,"q18",33.758000
"trenzvmbig_1mo_1x",90,"q11",20.515000
"trenzvmbig_1mo_1x",91,"q01",94.909000
"trenzvmbig_1mo_1x",92,"q05",19.342000
"trenzvmbig_1mo_1x",93,"q06",56.575000
"trenzvmbig_1mo_1x",94,"q14",56.999000
"trenzvmbig_1mo_1x",95,"q04",13.796000
"trenzvmbig_1mo_1x",96,"q15",9.951000
"trenzvmbig_1mo_1x",97,"q13",5.575000
"trenzvmbig_1mo_1x",98,"q08",248.532000
"trenzvmbig_1mo_1x",99,"q13",5.604000
"trenzvmbig_1mo_1x",100,"q02",195.472000
"trenzvmbig_1mo_1x",101,"q08",252.765000
"trenzvmbig_1mo_1x",102,"q01",95.020000
"trenzvmbig_1mo_1x",103,"q16",63.944000
"trenzvmbig_1mo_1x",104,"q03",15.013000
"trenzvmbig_1mo_1x",105,"q18",33.625000
"trenzvmbig_1mo_1x",106,"q12",73.392000
"trenzvmbig_1mo_1x",107,"q15",9.947000
"trenzvmbig_1mo_1x",108,"q14",55.138000
"trenzvmbig_1mo_1x",109,"q04",12.132000
"trenzvmbig_1mo_1x",110,"q05",25.733000
"trenzvmbig_1mo_1x",111,"q11",16.160000
"trenzvmbig_1mo_1x",112,"q06",54.814000
"trenzvmbig_1mo_1x",113,"q03",14.924000
"trenzvmbig_1mo_1x",114,"q18",33.586000
"trenzvmbig_1mo_1x",115,"q12",73.222000
"trenzvmbig_1mo_1x",116,"q04",12.620000
"trenzvmbig_1mo_1x",117,"q11",17.050000
"trenzvmbig_1mo_1x",118,"q05",18.518000
"trenzvmbig_1mo_1x",119,"q16",61.883000
"trenzvmbig_1mo_1x",120,"q06",54.816000
"trenzvmbig_1mo_1x",121,"q13",5.508000
"trenzvmbig_1mo_1x",122,"q15",9.893000
"trenzvmbig_1mo_1x",123,"q01",96.681000
"trenzvmbig_1mo_1x",124,"q14",54.153000
"trenzvmbig_1mo_1x",125,"q08",250.261000
"trenzvmbig_1mo_1x",126,"q02",195.304000
"trenzvmbig_1mo_1x",127,"q18",33.647000
"trenzvmbig_1mo_1x",128,"q12",73.169000
"trenzvmbig_1mo_1x",129,"q08",251.377000
"trenzvmbig_1mo_1x",130,"q05",18.453000
"trenzvmbig_1mo_1x",131,"q11",15.202000
"trenzvmbig_1mo_1x",132,"q01",95.047000
"trenzvmbig_1mo_1x",133,"q02",195.315000
"trenzvmbig_1mo_1x",134,"q14",54.450000
"trenzvmbig_1mo_1x",135,"q15",9.936000
"trenzvmbig_1mo_1x",136,"q04",9.434000
"trenzvmbig_1mo_1x",137,"q16",63.321000
"trenzvmbig_1mo_1x",138,"q06",55.038000
"trenzvmbig_1mo_1x",139,"q13",5.608000
"trenzvmbig_1mo_1x",140,"q03",14.855000
"trenzvmbig_1mo_1x",141,"q14",55.823000
"trenzvmbig_1mo_1x",142,"q05",19.631000
"trenzvmbig_1mo_1x",143,"q02",195.320000
"trenzvmbig_1mo_1x",144,"q01",95.045000
"trenzvmbig_1mo_1x",145,"q03",14.862000
"trenzvmbig_1mo_1x",146,"q15",10.040000
"trenzvmbig_1mo_1x",147,"q16",64.395000
"trenzvmbig_1mo_1x",148,"q04",9.841000
"trenzvmbig_1mo_1x",149,"q08",249.963000
"trenzvmbig_1mo_1x",150,"q12",73.291000
"trenzvmbig_1mo_1x",151,"q11",17.368000
"trenzvmbig_1mo_1x",152,"q18",34.229000
"trenzvmbig_1mo_1x",153,"q13",5.640000
"trenzvmbig_1mo_1x",154,"q06",54.886000
"trenzvmbig_1mo_1x",155,"q04",12.698000
"trenzvmbig_1mo_1x",156,"q16",64.136000
"trenzvmbig_1mo_1x",157,"q01",97.052000
"trenzvmbig_1mo_1x",158,"q13",5.503000
"trenzvmbig_1mo_1x",159,"q14",53.855000
"trenzvmbig_1mo_1x",160,"q15",10.035000
"trenzvmbig_1mo_1x",161,"q18",35.347000
"trenzvmbig_1mo_1x",162,"q05",19.358000
"trenzvmbig_1mo_1x",163,"q12",73.195000
"trenzvmbig_1mo_1x",164,"q11",17.005000
"trenzvmbig_1mo_1x",165,"q08",250.673000
"trenzvmbig_1mo_1x",166,"q03",13.351000
"trenzvmbig_1mo_1x",167,"q02",193.739000
"trenzvmbig_1mo_1x",168,"q06",54.904000
"trenzvmbig_1mo_1x",169,"q01",96.662000
"trenzvmbig_1mo_1x",170,"q02",195.882000
"trenzvmbig_1mo_1x",171,"q04",12.349000
"trenzvmbig_1mo_1x",172,"q18",34.398000
"trenzvmbig_1mo_1x",173,"q03",13.236000
"trenzvmbig_1mo_1x",174,"q08",250.667000
"trenzvmbig_1mo_1x",175,"q12",73.257000
"trenzvmbig_1mo_1x",176,"q11",16.063000
"trenzvmbig_1mo_1x",177,"q06",55.016000
"trenzvmbig_1mo_1x",178,"q14",55.029000
"trenzvmbig_1mo_1x",179,"q16",63.917000
"trenzvmbig_1mo_1x",180,"q15",10.035000
"trenzvmbig_1mo_1x",181,"q05",19.388000
"trenzvmbig_1mo_1x",182,"q13",5.567000
"trenzvmbig_1mo_1x",183,"q16",66.303000
"trenzvmbig_1mo_1x",184,"q12",74.639000
"trenzvmbig_1mo_1x",185,"q15",9.997000
"trenzvmbig_1mo_1x",186,"q18",33.786000
"trenzvmbig_1mo_1x",187,"q08",253.054000
"trenzvmbig_1mo_1x",188,"q02",193.504000
"trenzvmbig_1mo_1x",189,"q06",54.882000
"trenzvmbig_1mo_1x",190,"q11",16.252000
"trenzvmbig_1mo_1x",191,"q05",19.426000
"trenzvmbig_1mo_1x",192,"q04",9.566000
"trenzvmbig_1mo_1x",193,"q13",5.606000
"trenzvmbig_1mo_1x",194,"q03",15.401000
"trenzvmbig_1mo_1x",195,"q14",53.440000
"trenzvmbig_1mo_1x",196,"q01",95.483000
"trenzvmbig_1mo_1x",197,"q01",96.658000
"trenzvmbig_1mo_1x",198,"q04",10.307000
"trenzvmbig_1mo_1x",199,"q03",14.893000
"trenzvmbig_1mo_1x",200,"q14",53.486000
"trenzvmbig_1mo_1x",201,"q06",54.952000
"trenzvmbig_1mo_1x",202,"q18",35.343000
"trenzvmbig_1mo_1x",203,"q05",20.588000
"trenzvmbig_1mo_1x",204,"q15",9.974000
"trenzvmbig_1mo_1x",205,"q12",73.134000
"trenzvmbig_1mo_1x",206,"q16",62.587000
"trenzvmbig_1mo_1x",207,"q11",17.295000
"trenzvmbig_1mo_1x",208,"q08",252.744000
"trenzvmbig_1mo_1x",209,"q02",193.679000
"trenzvmbig_1mo_1x",210,"q13",5.536000
"trenzvmbig_1mo_1x",211,"q02",194.195000
"trenzvmbig_1mo_1x",212,"q05",20.801000
"trenzvmbig_1mo_1x",213,"q08",250.059000
"trenzvmbig_1mo_1x",214,"q12",72.993000
"trenzvmbig_1mo_1x",215,"q11",20.011000
"trenzvmbig_1mo_1x",216,"q14",55.851000
"trenzvmbig_1mo_1x",217,"q04",13.495000
"trenzvmbig_1mo_1x",218,"q03",13.155000
"trenzvmbig_1mo_1x",219,"q06",54.948000
"trenzvmbig_1mo_1x",220,"q01",96.661000
"trenzvmbig_1mo_1x",221,"q15",10.040000
"trenzvmbig_1mo_1x",222,"q13",5.627000
"trenzvmbig_1mo_1x",223,"q16",65.362000
"trenzvmbig_1mo_1x",224,"q18",35.321000
"trenzvmbig_1mo_1x",225,"q01",94.839000
"trenzvmbig_1mo_1x",226,"q16",63.653000
"trenzvmbig_1mo_1x",227,"q13",5.549000
"trenzvmbig_1mo_1x",228,"q08",249.887000
