config,seqno,query,duration
"trenz1bee-3mo-2017-07-26",1964,"q03",82.455000
"trenz1bee-3mo-2017-07-26",1965,"q02",704.128000
"trenz1bee-3mo-2017-07-26",1966,"q06",254.761000
"trenz1bee-3mo-2017-07-26",1967,"q04",41.925000
"trenz1bee-3mo-2017-07-26",1968,"q12",151.219000
"trenz1bee-3mo-2017-07-26",1969,"q16",300.942000
"trenz1bee-3mo-2017-07-26",1970,"q05",85.565000
"trenz1bee-3mo-2017-07-26",1971,"q14",235.618000
"trenz1bee-3mo-2017-07-26",1972,"q15",110.007000
"trenz1bee-3mo-2017-07-26",1973,"q18",145.688000
"trenz1bee-3mo-2017-07-26",1974,"q11",201.314000
"trenz1bee-3mo-2017-07-26",1975,"q01",168.286000
"trenz1bee-3mo-2017-07-26",1976,"q05",77.036000
"trenz1bee-3mo-2017-07-26",1977,"q18",108.129000
"trenz1bee-3mo-2017-07-26",1978,"q16",305.140000
"trenz1bee-3mo-2017-07-26",1979,"q12",159.247000
"trenz1bee-3mo-2017-07-26",1980,"q08",909.788000
"trenz1bee-3mo-2017-07-26",1981,"q11",203.762000
"trenz1bee-3mo-2017-07-26",1982,"q14",248.689000
"trenz1bee-3mo-2017-07-26",1983,"q02",700.866000
"trenz1bee-3mo-2017-07-26",1984,"q03",81.663000
"trenz1bee-3mo-2017-07-26",1985,"q13",36.401000
"trenz1bee-3mo-2017-07-26",1986,"q06",267.374000
"trenz1bee-3mo-2017-07-26",1987,"q04",42.735000
"trenz1bee-3mo-2017-07-26",1988,"q15",110.444000
"trenz1bee-3mo-2017-07-26",1989,"q16",291.066000
"trenz1bee-3mo-2017-07-26",1990,"q06",237.638000
"trenz1bee-3mo-2017-07-26",1991,"q13",34.956000
"trenz1bee-3mo-2017-07-26",1992,"q04",41.660000
"trenz1bee-3mo-2017-07-26",1993,"q12",141.395000
"trenz1bee-3mo-2017-07-26",1994,"q11",309.967000
"trenz1bee-3mo-2017-07-26",1995,"q14",275.856000
"trenz1bee-3mo-2017-07-26",1996,"q02",691.730000
"trenz1bee-3mo-2017-07-26",1997,"q18",153.632000
"trenz1bee-3mo-2017-07-26",1998,"q05",83.422000
"trenz1bee-3mo-2017-07-26",1999,"q08",946.510000
"trenz1bee-3mo-2017-07-26",2000,"q03",122.349000
"trenz1bee-3mo-2017-07-26",2001,"q01",210.367000
"trenz1bee-3mo-2017-07-26",2002,"q15",137.269000
"trenz1bee-3mo-2017-07-26",2003,"q14",262.456000
"trenz1bee-3mo-2017-07-26",2004,"q08",931.658000
"trenz1bee-3mo-2017-07-26",2005,"q02",693.069000
"trenz1bee-3mo-2017-07-26",2006,"q15",107.567000
"trenz1bee-3mo-2017-07-26",2007,"q18",144.736000
"trenz1bee-3mo-2017-07-26",2008,"q05",79.037000
"trenz1bee-3mo-2017-07-26",2009,"q16",291.011000
